filepath,label,label_idx,samplerate,frames,duration_s
data/Emotions\Angry\03-01-05-01-01-01-01.wav,Angry,0,48000,185786,3.8705416666666665
data/Emotions\Angry\03-01-05-01-01-01-02.wav,Angry,0,48000,176176,3.6703333333333332
data/Emotions\Angry\03-01-05-01-01-01-03.wav,Angry,0,48000,192192,4.004
data/Emotions\Angry\03-01-05-01-01-01-04.wav,Angry,0,48000,177778,3.703708333333333
data/Emotions\Angry\03-01-05-01-01-01-05.wav,Angry,0,48000,185786,3.8705416666666665
data/Emotions\Angry\03-01-05-01-01-01-06.wav,Angry,0,48000,180981,3.7704375
data/Emotions\Angry\03-01-05-01-01-01-07.wav,Angry,0,48000,192192,4.004
data/Emotions\Angry\03-01-05-01-01-01-08.wav,Angry,0,48000,177778,3.703708333333333
data/Emotions\Angry\03-01-05-01-01-01-09.wav,Angry,0,48000,171371,3.5702291666666666
data/Emotions\Angry\03-01-05-01-01-01-10.wav,Angry,0,48000,187387,3.9038958333333333
data/Emotions\Angry\03-01-05-01-01-01-11.wav,Angry,0,48000,172973,3.6036041666666665
data/Emotions\Angry\03-01-05-01-01-01-12.wav,Angry,0,48000,205005,4.2709375
data/Emotions\Angry\03-01-05-01-01-01-13.wav,Angry,0,48000,164965,3.4367708333333336
data/Emotions\Angry\03-01-05-01-01-01-14.wav,Angry,0,48000,172972,3.6035833333333334
data/Emotions\Angry\03-01-05-01-01-01-15.wav,Angry,0,48000,174575,3.636979166666667
data/Emotions\Angry\03-01-05-01-01-01-16.wav,Angry,0,48000,190591,3.970645833333333
data/Emotions\Angry\03-01-05-01-01-01-17.wav,Angry,0,48000,166567,3.4701458333333335
data/Emotions\Angry\03-01-05-01-01-01-18.wav,Angry,0,48000,187387,3.9038958333333333
data/Emotions\Angry\03-01-05-01-01-01-19.wav,Angry,0,48000,180981,3.7704375
data/Emotions\Angry\03-01-05-01-01-01-20.wav,Angry,0,48000,155356,3.2365833333333334
data/Emotions\Angry\03-01-05-01-01-01-21.wav,Angry,0,48000,198599,4.137479166666667
data/Emotions\Angry\03-01-05-01-01-01-22.wav,Angry,0,48000,177778,3.703708333333333
data/Emotions\Angry\03-01-05-01-01-01-23.wav,Angry,0,48000,158559,3.3033125
data/Emotions\Angry\03-01-05-01-01-01-24.wav,Angry,0,48000,196997,4.104104166666667
data/Emotions\Angry\03-01-05-01-01-02-01.wav,Angry,0,48000,188989,3.9372708333333333
data/Emotions\Angry\03-01-05-01-01-02-02.wav,Angry,0,48000,176176,3.6703333333333332
data/Emotions\Angry\03-01-05-01-01-02-03.wav,Angry,0,48000,195395,4.070729166666666
data/Emotions\Angry\03-01-05-01-01-02-04.wav,Angry,0,48000,172973,3.6036041666666665
data/Emotions\Angry\03-01-05-01-01-02-05.wav,Angry,0,48000,182582,3.8037916666666667
data/Emotions\Angry\03-01-05-01-01-02-06.wav,Angry,0,48000,190590,3.970625
data/Emotions\Angry\03-01-05-01-01-02-07.wav,Angry,0,48000,190591,3.970645833333333
data/Emotions\Angry\03-01-05-01-01-02-08.wav,Angry,0,48000,172973,3.6036041666666665
data/Emotions\Angry\03-01-05-01-01-02-09.wav,Angry,0,48000,171372,3.57025
data/Emotions\Angry\03-01-05-01-01-02-10.wav,Angry,0,48000,192192,4.004
data/Emotions\Angry\03-01-05-01-01-02-11.wav,Angry,0,48000,166567,3.4701458333333335
data/Emotions\Angry\03-01-05-01-01-02-12.wav,Angry,0,48000,190590,3.970625
data/Emotions\Angry\03-01-05-01-01-02-13.wav,Angry,0,48000,169769,3.5368541666666666
data/Emotions\Angry\03-01-05-01-01-02-14.wav,Angry,0,48000,177778,3.703708333333333
data/Emotions\Angry\03-01-05-01-01-02-15.wav,Angry,0,48000,172973,3.6036041666666665
data/Emotions\Angry\03-01-05-01-01-02-16.wav,Angry,0,48000,192192,4.004
data/Emotions\Angry\03-01-05-01-01-02-17.wav,Angry,0,48000,177778,3.703708333333333
data/Emotions\Angry\03-01-05-01-01-02-18.wav,Angry,0,48000,200200,4.170833333333333
data/Emotions\Angry\03-01-05-01-01-02-19.wav,Angry,0,48000,177778,3.703708333333333
data/Emotions\Angry\03-01-05-01-01-02-20.wav,Angry,0,48000,179379,3.7370625
data/Emotions\Angry\03-01-05-01-01-02-21.wav,Angry,0,48000,192192,4.004
data/Emotions\Angry\03-01-05-01-01-02-22.wav,Angry,0,48000,179379,3.7370625
data/Emotions\Angry\03-01-05-01-01-02-23.wav,Angry,0,48000,158559,3.3033125
data/Emotions\Angry\03-01-05-01-01-02-24.wav,Angry,0,48000,179379,3.7370625
data/Emotions\Angry\03-01-05-01-02-01-01.wav,Angry,0,48000,168168,3.5035
data/Emotions\Angry\03-01-05-01-02-01-02.wav,Angry,0,48000,180980,3.7704166666666667
data/Emotions\Angry\03-01-05-01-02-01-03.wav,Angry,0,48000,182583,3.8038125
data/Emotions\Angry\03-01-05-01-02-01-04.wav,Angry,0,48000,166566,3.470125
data/Emotions\Angry\03-01-05-01-02-01-05.wav,Angry,0,48000,195395,4.070729166666666
data/Emotions\Angry\03-01-05-01-02-01-06.wav,Angry,0,48000,201801,4.2041875
data/Emotions\Angry\03-01-05-01-02-01-07.wav,Angry,0,48000,192192,4.004
data/Emotions\Angry\03-01-05-01-02-01-08.wav,Angry,0,48000,169770,3.536875
data/Emotions\Angry\03-01-05-01-02-01-09.wav,Angry,0,48000,179379,3.7370625
data/Emotions\Angry\03-01-05-01-02-01-10.wav,Angry,0,48000,196997,4.104104166666667
data/Emotions\Angry\03-01-05-01-02-01-11.wav,Angry,0,48000,166566,3.470125
data/Emotions\Angry\03-01-05-01-02-01-12.wav,Angry,0,48000,179380,3.7370833333333335
data/Emotions\Angry\03-01-05-01-02-01-13.wav,Angry,0,48000,172973,3.6036041666666665
data/Emotions\Angry\03-01-05-01-02-01-14.wav,Angry,0,48000,179379,3.7370625
data/Emotions\Angry\03-01-05-01-02-01-15.wav,Angry,0,48000,177778,3.703708333333333
data/Emotions\Angry\03-01-05-01-02-01-16.wav,Angry,0,48000,187387,3.9038958333333333
data/Emotions\Angry\03-01-05-01-02-01-17.wav,Angry,0,48000,172973,3.6036041666666665
data/Emotions\Angry\03-01-05-01-02-01-18.wav,Angry,0,48000,171371,3.5702291666666666
data/Emotions\Angry\03-01-05-01-02-01-19.wav,Angry,0,48000,158559,3.3033125
data/Emotions\Angry\03-01-05-01-02-01-20.wav,Angry,0,48000,176176,3.6703333333333332
data/Emotions\Angry\03-01-05-01-02-01-21.wav,Angry,0,48000,195395,4.070729166666666
data/Emotions\Angry\03-01-05-01-02-01-22.wav,Angry,0,48000,185785,3.8705208333333334
data/Emotions\Angry\03-01-05-01-02-01-23.wav,Angry,0,48000,156957,3.2699375
data/Emotions\Angry\03-01-05-01-02-01-24.wav,Angry,0,48000,176176,3.6703333333333332
data/Emotions\Angry\03-01-05-01-02-02-01.wav,Angry,0,48000,179379,3.7370625
data/Emotions\Angry\03-01-05-01-02-02-02.wav,Angry,0,48000,182582,3.8037916666666667
data/Emotions\Angry\03-01-05-01-02-02-03.wav,Angry,0,48000,184184,3.8371666666666666
